ID	X	Y	dem
1	59.4375	44.0625	13
2	59.5625	44.0625	14
3	59.4375	43.9375	26
4	59.5625	43.9375	25
5	59.1875	43.8125	37
6	59.3125	43.8125	38
7	59.4375	43.8125	36
8	59.0625	43.6875	42
9	59.1875	43.6875	44
10	59.3125	43.6875	46
11	59.4375	43.6875	46
12	59.5625	43.6875	43
13	59.0625	43.5625	47
14	59.1875	43.5625	48
15	59.3125	43.5625	50
16	59.4375	43.5625	48
17	59.5625	43.5625	47
18	59.0625	43.4375	48
19	59.1875	43.4375	54
20	59.3125	43.4375	51
21	59.4375	43.4375	49
22	59.5625	43.4375	53
23	59.0625	43.3125	52
24	59.1875	43.3125	53
25	59.3125	43.3125	52
26	59.4375	43.3125	56
27	59.0625	43.1875	60
28	59.1875	43.1875	53
29	59.3125	43.1875	58
30	59.4375	43.1875	64
31	59.0625	43.0625	55
32	59.1875	43.0625	56
33	59.3125	43.0625	60
34	59.4375	43.0625	64
35	59.1875	42.9375	58
36	59.3125	42.9375	61
37	59.4375	42.9375	61
38	59.1875	42.8125	61
39	59.3125	42.8125	59
40	59.4375	42.8125	64
41	59.1875	42.6875	67
42	59.3125	42.6875	62
43	59.4375	42.6875	67
44	59.1875	42.5625	67
45	59.3125	42.5625	64
46	59.4375	42.5625	66
47	59.5625	42.5625	71
48	59.4375	42.4375	71
49	59.5625	42.4375	68
50	59.6875	42.4375	80
51	59.8125	42.4375	96
52	59.9375	42.4375	98
53	60.0625	42.4375	111
54	60.1875	42.4375	110
55	59.5625	42.3125	74
56	59.6875	42.3125	74
57	59.8125	42.3125	79
58	59.9375	42.3125	76
59	60.0625	42.3125	94
60	60.1875	42.3125	142
61	59.9375	42.1875	77
62	60.0625	42.1875	78
63	60.1875	42.1875	87
64	60.3125	42.1875	190
65	60.4375	42.1875	258
66	60.1875	42.0625	84
67	60.3125	42.0625	103
68	60.4375	42.0625	200
69	60.5625	42.0625	248
70	60.6875	42.0625	276
71	60.8125	42.0625	262
72	60.1875	41.9375	83
73	60.3125	41.9375	85
74	60.4375	41.9375	82
75	60.5625	41.9375	87
76	60.6875	41.9375	97
77	60.8125	41.9375	100
78	60.9375	41.9375	89
79	60.3125	41.8125	88
80	60.4375	41.8125	89
81	60.5625	41.8125	87
82	60.6875	41.8125	92
83	60.8125	41.8125	92
84	60.9375	41.8125	92
85	60.5625	41.6875	94
86	60.6875	41.6875	91
87	60.8125	41.6875	96
88	60.9375	41.6875	97
89	60.6875	41.5625	98
90	60.8125	41.5625	94
91	60.9375	41.5625	97
92	61.0625	41.5625	102
93	60.8125	41.4375	102
94	60.9375	41.4375	101
95	61.0625	41.4375	99
96	61.1875	41.4375	103
97	61.3125	41.4375	113
98	61.4375	41.4375	118
99	60.9375	41.3125	104
100	61.0625	41.3125	106
101	61.1875	41.3125	104
102	61.3125	41.3125	112
103	61.4375	41.3125	126
104	61.5625	41.3125	134
105	61.6875	41.3125	146
106	61.1875	41.1875	111
107	61.3125	41.1875	110
108	61.4375	41.1875	117
109	61.5625	41.1875	128
110	61.6875	41.1875	120
111	61.8125	41.1875	139
112	61.9375	41.1875	141
113	61.4375	41.0625	116
114	61.5625	41.0625	126
115	61.6875	41.0625	136
116	61.8125	41.0625	132
117	61.9375	41.0625	132
118	62.0625	41.0625	149
119	61.4375	40.9375	127
120	61.5625	40.9375	130
121	61.6875	40.9375	136
122	61.8125	40.9375	146
123	61.9375	40.9375	131
124	62.0625	40.9375	143
125	62.1875	40.9375	153
126	61.6875	40.8125	139
127	61.8125	40.8125	139
128	61.9375	40.8125	141
129	62.0625	40.8125	141
130	62.1875	40.8125	156
131	62.3125	40.8125	157
132	61.8125	40.6875	137
133	61.9375	40.6875	148
134	62.0625	40.6875	141
135	62.1875	40.6875	158
136	62.3125	40.6875	160
137	62.4375	40.6875	166
138	62.0625	40.5625	151
139	62.1875	40.5625	150
140	62.3125	40.5625	164
