ID	X	Y	slope
1	59.4375	44.0625	0.000757
2	59.5625	44.0625	0.000643
3	59.4375	43.9375	0.000753
4	59.5625	43.9375	0.000677
5	59.1875	43.8125	0.000427
6	59.3125	43.8125	0.000428
7	59.4375	43.8125	0.000552
8	59.0625	43.6875	0.000278
9	59.1875	43.6875	0.000303
10	59.3125	43.6875	0.000196
11	59.4375	43.6875	0.000209
12	59.5625	43.6875	0.000420
13	59.0625	43.5625	0.000222
14	59.1875	43.5625	0.000185
15	59.3125	43.5625	0.000175
16	59.4375	43.5625	0.000229
17	59.5625	43.5625	0.000344
18	59.0625	43.4375	0.000189
19	59.1875	43.4375	0.000154
20	59.3125	43.4375	0.000296
21	59.4375	43.4375	0.000437
22	59.5625	43.4375	0.000376
23	59.0625	43.3125	0.000128
24	59.1875	43.3125	0.000162
25	59.3125	43.3125	0.000468
26	59.4375	43.3125	0.000304
27	59.0625	43.1875	0.000188
28	59.1875	43.1875	0.000169
29	59.3125	43.1875	0.000378
30	59.4375	43.1875	0.000064
31	59.0625	43.0625	0.000255
32	59.1875	43.0625	0.000154
33	59.3125	43.0625	0.000216
34	59.4375	43.0625	0.000053
35	59.1875	42.9375	0.000248
36	59.3125	42.9375	0.000182
37	59.4375	42.9375	0.000233
38	59.1875	42.8125	0.000232
39	59.3125	42.8125	0.000177
40	59.4375	42.8125	0.000323
41	59.1875	42.6875	0.000074
42	59.3125	42.6875	0.000165
43	59.4375	42.6875	0.000278
44	59.1875	42.5625	0.000137
45	59.3125	42.5625	0.000222
46	59.4375	42.5625	0.000222
47	59.5625	42.5625	0.000329
48	59.4375	42.4375	0.000134
49	59.5625	42.4375	0.000220
50	59.6875	42.4375	0.000572
51	59.8125	42.4375	0.000679
52	59.9375	42.4375	0.001038
53	60.0625	42.4375	0.002121
54	60.1875	42.4375	0.002871
55	59.5625	42.3125	0.000147
56	59.6875	42.3125	0.000198
57	59.8125	42.3125	0.000160
58	59.9375	42.3125	0.000318
59	60.0625	42.3125	0.001288
60	60.1875	42.3125	0.004015
61	59.9375	42.1875	0.000222
62	60.0625	42.1875	0.000245
63	60.1875	42.1875	0.002163
64	60.3125	42.1875	0.006019
65	60.4375	42.1875	0.006623
66	60.1875	42.0625	0.000418
67	60.3125	42.0625	0.001899
68	60.4375	42.0625	0.004017
69	60.5625	42.0625	0.005724
70	60.6875	42.0625	0.006329
71	60.8125	42.0625	0.005454
72	60.1875	41.9375	0.000250
73	60.3125	41.9375	0.000253
74	60.4375	41.9375	0.000307
75	60.5625	41.9375	0.000282
76	60.6875	41.9375	0.000305
77	60.8125	41.9375	0.000045
78	60.9375	41.9375	0.000229
79	60.3125	41.8125	0.000299
80	60.4375	41.8125	0.000265
81	60.5625	41.8125	0.000293
82	60.6875	41.8125	0.000238
83	60.8125	41.8125	0.000213
84	60.9375	41.8125	0.000242
85	60.5625	41.6875	0.000191
86	60.6875	41.6875	0.000237
87	60.8125	41.6875	0.000230
88	60.9375	41.6875	0.000215
89	60.6875	41.5625	0.000183
90	60.8125	41.5625	0.000206
91	60.9375	41.5625	0.000241
92	61.0625	41.5625	0.000200
93	60.8125	41.4375	0.000279
94	60.9375	41.4375	0.000283
95	61.0625	41.4375	0.000326
96	61.1875	41.4375	0.000388
97	61.3125	41.4375	0.000772
98	61.4375	41.4375	0.000847
99	60.9375	41.3125	0.000426
100	61.0625	41.3125	0.000399
101	61.1875	41.3125	0.000451
102	61.3125	41.3125	0.000408
103	61.4375	41.3125	0.000777
104	61.5625	41.3125	0.000651
105	61.6875	41.3125	0.000511
106	61.1875	41.1875	0.000606
107	61.3125	41.1875	0.000563
108	61.4375	41.1875	0.000510
109	61.5625	41.1875	0.000679
110	61.6875	41.1875	0.000605
111	61.8125	41.1875	0.000215
112	61.9375	41.1875	0.000346
113	61.4375	41.0625	0.000651
114	61.5625	41.0625	0.000647
115	61.6875	41.0625	0.000531
116	61.8125	41.0625	0.000269
117	61.9375	41.0625	0.000219
118	62.0625	41.0625	0.000883
119	61.4375	40.9375	0.000561
120	61.5625	40.9375	0.000489
121	61.6875	40.9375	0.000230
122	61.8125	40.9375	0.000072
123	61.9375	40.9375	0.000215
124	62.0625	40.9375	0.000753
125	62.1875	40.9375	0.000802
126	61.6875	40.8125	0.000423
127	61.8125	40.8125	0.000391
128	61.9375	40.8125	0.000407
129	62.0625	40.8125	0.000445
130	62.1875	40.8125	0.000786
131	62.3125	40.8125	0.000469
132	61.8125	40.6875	0.000511
133	61.9375	40.6875	0.000551
134	62.0625	40.6875	0.000382
135	62.1875	40.6875	0.000392
136	62.3125	40.6875	0.000731
137	62.4375	40.6875	0.000560
138	62.0625	40.5625	0.000553
139	62.1875	40.5625	0.000427
140	62.3125	40.5625	0.000502
141	62.4375	40.5625	0.000804
142	62.5625	40.5625	0.000496
143	62.6875	40.5625	0.000206
144	62.0625	40.4375	0.000513
145	62.1875	40.4375	0.000837
146	62.3125	40.4375	0.000684
147	62.4375	40.4375	0.000631
148	62.5625	40.4375	0.000634
149	62.6875	40.4375	0.000177
150	62.8125	40.4375	0.000020
151	62.9375	40.4375	0.000019
152	63.0625	40.4375	0.000087
153	65.3125	40.4375	0.009293
154	65.4375	40.4375	0.011604
155	65.5625	40.4375	0.014124
156	65.8125	40.4375	0.016774
157	65.9375	40.4375	0.015234
158	66.0625	40.4375	0.009781
159	66.4375	40.4375	0.010197
160	66.5625	40.4375	0.019116
161	66.6875	40.4375	0.024137
162	66.8125	40.4375	0.021848
163	66.9375	40.4375	0.014706
164	67.0625	40.4375	0.004085
165	62.0625	40.3125	0.000454
166	62.1875	40.3125	0.000540
167	62.3125	40.3125	0.000781
168	62.4375	40.3125	0.000380
169	62.5625	40.3125	0.000631
170	62.6875	40.3125	0.000070
171	62.8125	40.3125	0.000030
172	62.9375	40.3125	0.000043
173	63.0625	40.3125	0.000112
174	63.1875	40.3125	0.000160
175	63.3125	40.3125	0.000290
176	63.4375	40.3125	0.000395
177	63.5625	40.3125	0.000370
178	63.6875	40.3125	0.000374
179	65.1875	40.3125	0.002598
180	65.3125	40.3125	0.003839
181	65.4375	40.3125	0.006741
182	65.5625	40.3125	0.010484
183	65.6875	40.3125	0.015734
184	65.8125	40.3125	0.018617
185	65.9375	40.3125	0.018860
186	66.0625	40.3125	0.018864
187	66.1875	40.3125	0.020018
188	66.3125	40.3125	0.020370
189	66.4375	40.3125	0.017561
190	66.5625	40.3125	0.014201
191	66.6875	40.3125	0.010471
192	66.8125	40.3125	0.008585
193	66.9375	40.3125	0.006790
194	67.0625	40.3125	0.009084
195	67.1875	40.3125	0.014577
196	67.3125	40.3125	0.011157
197	67.4375	40.3125	0.017393
198	62.1875	40.1875	0.000287
199	62.3125	40.1875	0.000591
200	62.4375	40.1875	0.000353
201	62.5625	40.1875	0.000531
202	62.6875	40.1875	0.000194
203	62.8125	40.1875	0.000063
204	62.9375	40.1875	0.000031
205	63.0625	40.1875	0.000130
206	63.1875	40.1875	0.000184
207	63.3125	40.1875	0.000311
208	63.4375	40.1875	0.000413
209	63.5625	40.1875	0.000400
210	63.6875	40.1875	0.000378
211	63.8125	40.1875	0.000378
212	63.9375	40.1875	0.000435
213	64.6875	40.1875	0.001055
214	64.8125	40.1875	0.002160
215	64.9375	40.1875	0.003875
216	65.0625	40.1875	0.004316
217	65.1875	40.1875	0.004916
218	65.3125	40.1875	0.006446
219	65.4375	40.1875	0.006670
220	65.5625	40.1875	0.004376
221	65.6875	40.1875	0.001273
222	65.8125	40.1875	0.003196
223	65.9375	40.1875	0.004437
224	66.0625	40.1875	0.005961
225	66.1875	40.1875	0.008437
226	66.3125	40.1875	0.010774
227	66.4375	40.1875	0.011495
228	66.5625	40.1875	0.010014
229	66.6875	40.1875	0.007972
230	66.8125	40.1875	0.008761
231	66.9375	40.1875	0.006680
232	67.0625	40.1875	0.004416
233	67.1875	40.1875	0.008150
234	67.3125	40.1875	0.002556
235	67.4375	40.1875	0.011982
236	62.1875	40.0625	0.000477
237	62.3125	40.0625	0.000588
238	62.4375	40.0625	0.000267
239	62.5625	40.0625	0.000308
240	62.6875	40.0625	0.000189
241	62.8125	40.0625	0.000019
242	62.9375	40.0625	0.000057
243	63.0625	40.0625	0.000118
244	63.1875	40.0625	0.000154
245	63.3125	40.0625	0.000269
246	63.4375	40.0625	0.000437
247	63.5625	40.0625	0.000472
248	63.6875	40.0625	0.000416
249	63.8125	40.0625	0.000376
250	63.9375	40.0625	0.000464
251	64.0625	40.0625	0.000579
252	64.4375	40.0625	0.000763
253	64.5625	40.0625	0.000872
254	64.6875	40.0625	0.001211
255	64.8125	40.0625	0.002321
256	64.9375	40.0625	0.004998
257	65.0625	40.0625	0.006281
258	65.1875	40.0625	0.006045
259	65.3125	40.0625	0.006033
260	65.4375	40.0625	0.004495
261	65.5625	40.0625	0.002182
262	65.6875	40.0625	0.008176
263	65.8125	40.0625	0.012250
264	65.9375	40.0625	0.011580
265	66.0625	40.0625	0.007203
266	66.1875	40.0625	0.001876
267	66.3125	40.0625	0.002552
268	66.4375	40.0625	0.002154
269	66.5625	40.0625	0.001768
270	66.6875	40.0625	0.003132
271	66.8125	40.0625	0.005298
272	66.9375	40.0625	0.007193
273	67.0625	40.0625	0.010984
274	67.1875	40.0625	0.010019
275	67.3125	40.0625	0.005916
276	67.4375	40.0625	0.012120
277	62.1875	39.9375	0.000884
278	62.3125	39.9375	0.000794
279	62.4375	39.9375	0.000665
280	62.5625	39.9375	0.000379
281	62.6875	39.9375	0.000502
282	62.8125	39.9375	0.000326
283	62.9375	39.9375	0.000150
284	63.0625	39.9375	0.000107
285	63.1875	39.9375	0.000096
286	63.3125	39.9375	0.000181
287	63.4375	39.9375	0.000309
288	63.5625	39.9375	0.000626
289	63.6875	39.9375	0.000620
290	63.8125	39.9375	0.000307
291	63.9375	39.9375	0.000338
292	64.0625	39.9375	0.000503
293	64.1875	39.9375	0.000549
294	64.3125	39.9375	0.000651
295	64.4375	39.9375	0.000660
296	64.5625	39.9375	0.000560
297	64.6875	39.9375	0.000568
298	64.8125	39.9375	0.000730
299	64.9375	39.9375	0.003324
300	65.0625	39.9375	0.004425
301	65.1875	39.9375	0.005704
302	65.3125	39.9375	0.008119
303	65.4375	39.9375	0.009440
304	65.5625	39.9375	0.009426
305	65.6875	39.9375	0.007343
306	65.8125	39.9375	0.006555
307	65.9375	39.9375	0.006546
308	66.0625	39.9375	0.009839
309	66.1875	39.9375	0.004221
310	66.3125	39.9375	0.003742
311	66.4375	39.9375	0.004245
312	66.5625	39.9375	0.003955
313	66.6875	39.9375	0.003894
314	66.8125	39.9375	0.003788
315	66.9375	39.9375	0.004433
316	67.0625	39.9375	0.008945
317	67.1875	39.9375	0.012171
318	67.3125	39.9375	0.008019
319	67.4375	39.9375	0.001726
320	62.1875	39.8125	0.001193
321	62.3125	39.8125	0.000965
322	62.4375	39.8125	0.000511
323	62.5625	39.8125	0.000388
324	62.6875	39.8125	0.000170
325	62.8125	39.8125	0.000221
326	62.9375	39.8125	0.000315
327	63.0625	39.8125	0.000275
328	63.1875	39.8125	0.000153
329	63.3125	39.8125	0.000170
330	63.4375	39.8125	0.000048
331	63.5625	39.8125	0.000595
332	63.6875	39.8125	0.000815
333	63.8125	39.8125	0.000302
334	63.9375	39.8125	0.000222
335	64.0625	39.8125	0.000323
336	64.1875	39.8125	0.000433
337	64.3125	39.8125	0.000606
338	64.4375	39.8125	0.000483
339	64.5625	39.8125	0.000424
340	64.6875	39.8125	0.000902
341	64.8125	39.8125	0.001994
342	64.9375	39.8125	0.002914
343	65.0625	39.8125	0.001505
344	65.1875	39.8125	0.000911
345	65.3125	39.8125	0.002884
346	65.4375	39.8125	0.005600
347	65.5625	39.8125	0.010404
348	65.6875	39.8125	0.013286
349	65.8125	39.8125	0.014130
